id,jenis_usaha,judul,kbli,kementrian,perizinan,sub_kbli,uraian
67,,"PERTANIAN TANAMAN REMPAH-REMPAH, AROMATIK/PENYEGAR, DAN OBAT LAINNYA",01289,,,,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman rempah lainnya, seperti kemiri, panili, kayu manis dan pala. Termasuk kegiatan pembibitan dan pembenihannya."
68,,"PERKEBUNAN TANAMAN TAHUNAN LAINNYA",0129,,,,"Subgolongan ini mencakup :- Perkebunan pohon karet- Perkebunan pohon cemara- Perkebunan pohon penghasil getahSubgolongan ini tidak mencakup :- Pengumpulan getah pohon atau getah karet liar, lihat 0230"
69,,"PERKEBUNAN KARET DAN TANAMAN PENGHASIL GETAH LAINNYA",01291,,,,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman karet dan tanaman penghasil getah lainnya, seperti getah perca dan kemenyan. Termasuk pengolahan hasil tanaman karet yang tidak dapat dipisahkan dari kegiatan perkebunan. Termasuk kegiatan pembibitan dan pembenihan tanaman karet dan tanaman penghasil getah lainnya."
70,,"PERTANIAN CEMARA DAN TANAMAN TAHUNAN LAINNYA",01299,,,,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan pohon cemara, tanaman jarak pagar dan tanaman tahunan lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman cemara dan tanaman tahunan lainnya."
71,,"PERTANIAN TANAMAN HIAS DAN PENGEMBANGBIAKAN TANAMAN",013,,,,"Golongan ini mencakup kegiatan pengembangbiakan tanaman secara vegetatif yang meliputi penyetekan batang dan penyemaian untuk perkembangbiakan tanaman secara langsung atau mendapatkan batang okulasi tanaman pada keturunan terpilih yang diokulasi yang pada akhirnya ditanam untuk menghasilkan tanaman. Termasuk pertanian tanaman hias dan kegiatan pembibitan."
72,,"PERTANIAN TANAMAN HIAS DAN PENGEMBANGBIAKAN TANAMAN",0130,,,,"Subgolongan ini mencakup produksi semua bibit tanaman secara vegetatif termasuk batang stek, potongan, dan pembibitan untuk kelangsungan pengembangbiakan tanaman atau membuat batang okulasi tanaman pada keturunannya terpilih yang diokulasi yang pada akhirnya ditanam untuk menghasilkan tanaman.Subgolongan ini mencakup :- Penanaman tumbuhan untuk ditanam kembali- Penanaman tumbuhan untuk tujuan ornamen atau tanaman hias, termasuk tanah berumput untuk transplantasi- Penanaman tumbuhan hidup untuk umbi-umbian, akar-akaran; pemotongan, stek dan cangkokan; spawn jamur- Kebun bibit tanaman, kecuali kebun bibit tanaman hutanSubgolongan ini tidak mencakup :- Kebun bibit tanaman hutan, lihat 0214"
73,,"PERTANIAN TANAMAN HIAS",01301,,,,"Kelompok ini mencakup pertanian atau budidaya tanaman hias daun dan tanaman hias bunga hidup, seperti bonsai, suplir, kuping gajah, heliconia (pisang-pisangan), dracaena, phylodendrom, monstera, cordyline, anthurium daun, pakis, aglonema, difenbacia, sansifera (lidah mertua), caladium (keladi), palem dan tanaman hias bunga, seperti anggrek, mawar, adenium (kaboja jepang, anthurium bunga, euphorbia, ixora (soka) dan tanaman bunga lainnya. Termasuk penanaman tumbuhan untuk tujuan ornamen dan tanah berumput untuk transplantasi."
74,,"PERTANIAN PENGEMBANGBIAKAN TANAMAN",01302,,,,"Kelompok ini mencakup produksi semua bibit tanaman secara vegetatif termasuk batang stek, potongan dan pembibitan untuk kelangsungan pengembangbiakan tanaman atau membuat batang okulasi tanaman pada keturunannya terpilih yang diokulasi yang pada akhirnya ditanam untuk menghasilkan tanaman. Termasuk kegiatan penanaman tumbuhan untuk ditanam kembali, penanaman tumbuhan hidup untuk umbi-umbian, akar- akaran; pemotongan, stek dan cangkokan; spawn jamur dan kebun bibit tanaman, kecuali kebun bibit tanaman hutan."
75,,PETERNAKAN,014,,,,"Golongan ini mencakup budidaya dan pembibitan hewan ternak, unggas, serangga, binatang melata/reptil, cacing, hewan peliharaan. Termasuk budidaya hewan untuk diambil hasilnya seperti bulu, telur, susu, madu dan lilin lebah dan kepompong ulat sutera."
76,,"PETERNAKAN SAPI DAN KERBAU",0141,,,,"Subgolongan ini mencakup :- Pembibitan dan budidaya sapi dan kerbau- Produksi susu sapi dan kerbau- Produksi semen dan embrio sapi dan kerbau"
77,,"PEMBIBITAN DAN BUDIDAYA SAPI POTONG",01411,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan pembibitan sapi potong, untuk menghasilkan ternak bibit sapi potong, semen dan embrio, dan kegiatan budidaya sapi potong berupa pengembangbiakan untuk menghasilkan anak atau calon indukan dan penggemukan untuk menghasilkan calon sapi siap potong."
78,,"PEMBIBITAN DAN BUDIDAYA SAPI PERAH",01412,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan pembibitan sapi perah untuk menghasilkan ternak bibit sapi perah, semen dan embrio dan usaha budidaya sapi perah berupa pengembangbiakan untuk menghasilkan anak atau calon indukan dan untuk menghasilkan susu dan penggemukan."
79,,"PEMBIBITAN DAN BUDIDAYA KERBAU POTONG",01413,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan pembibitan kerbau potong untuk menghasilkan ternak bibit kerbau potong, semen dan embrio dan usaha budidaya kerbau potong berupa pengembangbiakan untuk menghasilkan anak atau calon indukan dan penggemukan untuk menghasilkan calon kerbau siap potong."
80,,"PEMBIBITAN DAN BUDIDAYA KERBAU PERAH",01414,,,,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan kerbau perah untuk menghasilkan ternak bibit kerbau perah, semen dan embrio dan usaha budidaya kerbau perah yang menyelenggarakan pengembangbiakan untuk menghasilkan anak atau calon indukan dan untuk menghasilkan susu."
81,,"PETERNAKAN KUDA DAN SEJENISNYA",0142,,,,"Subgolongan ini mencakup :- Pembibitan dan budidaya kuda, keledai, bagal atau hinni - Produksi susu kuda dan sejenisnya- Produksi semen dan embrio kuda dan sejenisnyaSubgolongan ini tidak mencakup :- Pengoperasian fasilitas pacuan kuda, lihat 9311"
82,,"PETERNAKAN KUDA DAN SEJENISNYA",01420,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan pembibitan kuda dan sejenisnya, untuk menghasilkan ternak bibit kuda dan sejenisnya, semen dan embrio dan usaha budidaya kuda yang melakukan kegiatan pengembangbiakan untuk menghasilkan kuda potong, kuda perah, kuda pacu, kuda tunggang, kuda tarik, kuda kavaleri, kuda polo, dan kuda kesayangan, bagal, hinni dan sejenisnyaKelompok ini mencakup :-Produksi Susu Kuda dan Sejenisnya"
83,,"PETERNAKAN UNTA DAN SEJENISNYA",0143,,,,"Subgolongan ini mencakup :- Pembibitan dan budidaya unta dan sejenisnya seperti llama, alpacas, vicunas, guanacos- Produksi susu unta dan sejenisnya- Produksi semen dan embrio unta dan sejenisnya"
84,,"PETERNAKAN UNTA DAN SEJENISNYA",01430,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan pembibitan unta dan sejenisnya untuk menghasilkan ternak bibit unta dan sejenisnya, semen dan embrio dan melakukan kegiatan budidaya unta berupa pengembangbiakan untuk menghasilkan unta potong, unta perah dan sejenisnya seperti llama, alpacas, vicunas dan guanacos.Kelompok ini mencakup :- Produksi susu unta dan sejenisnya"
85,,"PETERNAKAN DOMBA DAN KAMBING",0144,,,,"Subgolongan ini mencakup :- Pembibitan dan budidaya domba dan kambing- Produksi susu domba dan kambing- Produksi bulu wol mentah- Produksi semen dan embrio domba dan kambingSubgolongan ini tidak mencakup :- Pencukuran domba atas dasar balas jasa atau kontrak, lihat 0162 - Produksi pulled wool, lihat 1011- Pengolahan susu, lihat 1051 dan 1052"
86,,"PEMBIBITAN DAN BUDIDAYA DOMBA POTONG",01441,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan pembibitan domba potong untuk menghasilkan ternak bibit domba potong, semen dan embrio dan kegiatan budidaya domba potong berupa pengembangbiakan untuk menghasilkan anak atau calon indukan dan penggemukan untuk menghasilkan calon domba siap potong."
87,,"PEMBIBITAN DAN BUDIDAYA KAMBING POTONG",01442,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan pembibitan kambing potong untuk menghasilkan ternak bibit kambing potong, semen dan embrio dan kegiatan budidaya kambing potong berupa pengembangbiakan untuk menghasilkan anak atau calon indukan dan penggemukan untuk menghasilkan calon kambing siap potong."
88,,"PEMBIBITAN DAN BUDIDAYA KAMBING PERAH",01443,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan pembibitan kambing perah, untuk menghasilkan ternak bibit kambing perah, semen dan embrio; dan kegiatan budidaya kambing perah berupa pengembangbiakan untuk menghasilkan anak atau calon indukan dan untuk menghasilkan susu. (sama dengan sapi perah)"
89,,"PEMBIBITAN DAN BUDIDAYA DOMBA PERAH",01444,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan pembibitan domba perah untuk menghasilkan ternak bibit domba perah, semen dan embrio; dan kegiatan budidaya domba perah berupa pengembangbiakan untuk menghasilkan anak atau calon indukan dan untuk menghasilkan susu."
90,,"PRODUKSI BULU DOMBA MENTAH/RAW WOOL",01445,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan produksi bulu domba (wool) mentah."
91,,"PETERNAKAN BABI",0145,,,,"Subgolongan ini mencakup :- Pembibitan dan budidaya babi- Produksi semen dan embrio babi"
92,,"PETERNAKAN BABI",01450,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan pembibitan babi, untuk menghasilkan ternak bibit babi, semen dan embrio dan usaha budidaya babi berupa pengembangbiakan untuk menghasilkan anak atau calon indukan dan penggemukan untuk menghasilkan calon babi siap potong."
93,,"PETERNAKAN UNGGAS",0146,,,,"Subgolongan ini mencakup :- Pembibitan dan budidaya unggas, seperti ayam, itik, angsa, kalkun, unggas lainnya- Produksi telur- Penetasan telurSubgolongan ini tidak mencakup : - Produksi bulu, lihat 1012"
94,,"BUDIDAYA AYAM RAS PEDAGING",01461,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan budidaya ayam ras untuk menghasilkan ayam pedaging."
95,,"BUDIDAYA AYAM RAS PETELUR",01462,,,,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan budidaya ayam ras untuk menghasilkan telur konsumsi dan lainnya."
96,,"PEMBIBITAN AYAM LOKAL DAN PERSILANGANNYA",01463,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan pembibitan ayam lokal dan persilangannya,untuk menghasilkan ternak bibit ayam dan telur tetas ayam lokal petelur dan pedaging,dan persilangannya."
97,,"BUDIDAYA AYAM LOKAL DAN PERSILANGANNYA",01464,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan budidaya ayam lokal dan persilangannya, untuk menghasilkan pullet, ayam lokal pedaging siap potong dan telur konsumsi."
98,,"PEMBIBITAN DAN BUDIDAYA ITIK DAN/ATAU BEBEK",01465,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan pembibitan itik dan/atau bebek, untuk menghasilkan telur tetas, ternak bibit itik dan/atau bebek dan peternakan yang menyelenggarakan budidaya itik dan/atau bebek untuk menghasilkan itik dan/atau bebek pedaging, itik dan/atau bebek petelur, telur konsumsi dan lainnya."
99,,"PEMBIBITAN DAN BUDIDAYA BURUNG PUYUH",01466,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan pembibitan burung puyuh, untuk menghasilkan ternak bibit burung puyuh dan atau telur tetas dan peternakan yang menyelenggarakan budidaya burung puyuh untuk menghasilkan burung puyuh potong, burung puyuh petelur atau telur konsumsi."
100,,"PEMBIBITAN DAN BUDIDAYA BURUNG MERPATI",01467,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan pembibitan burung merpati, untuk menghasilkan ternak bibit burung merpati dan atau telur tetas dan peternakan yang menyelenggarakan budidaya burung merpati untuk menghasilkan burung merpati potong atau untuk keperluan lainnya."
101,,"PEMBIBITAN AYAM RAS",01468,,,,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan ayam ras pedaging dan ayam ras petelur untuk menghasilkan ayam bibit, telur tetas, bibit niaga (final stock) day old chick (DOC) dari ayam ras pedaging dan ayam ras petelur."
102,,"PEMBIBITAN DAN BUDIDAYA TERNAK UNGGAS LAINNYA",01469,,,,"Kelompok ini mencakup usaha peternakan yang melakukan kegiatan pembibitan ternak unggas lainnya, seperti kalkun, angsa, unggas persilangan dan unggas lainnya untuk menghasilkan bibit dan atau telur tetas dan peternakan yang melakukan kegiatan budidaya unggas tersebut untuk menghasilkan, unggas pedaging, unggas petelur dan telur."
103,,"PETERNAKAN LAINNYA",0149,,,,"Subgolongan ini mencakup :- Pembibitan dan budidaya hewan semi-domestik atau hewan lainnya, seperti burung unta dan emu, serangga dan kelinci dan hewan berbulu - Produksi kulit bulu, reptil atau kulit burung dari peternakan atau pertanian- Pengoperasian peternakan cacing, bekicot dan keong darat- Pembibitan dan budidaya ulat sutera dan produksi kepompong ulat sutera - Pengoperasian peternakan lebah dan produksi madu dan lilin tawon lebah - Pembibitan dan budidaya hewan peliharaan (kecuali ikan), seperti kucing dan anjing, burung, seperti parkit, hamster dan hewan peliharaan lainnya- Pembibitan dan budidaya bermacam-macam hewan lainnyaSubgolongan ini tidak mencakup :- Produksi kulit dan kulit asli dari berburu dan pemasangan perangkap, lihat 0171- Pengoperasian peternakan cacing laut, katak dan buaya, lihat 0321, 0322 - Pengoperasian peternakan ikan, lihat 0321, 0322- Pelatihan hewan peliharaan, lihat 9699"
104,,"PEMBIBITAN DAN BUDIDAYA BURUNG UNTA",01491,,,,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan burung unta, untuk menghasilkan ternak bibit burung unta dan atau telur tetas dan peternakan yang menyelenggarakan budidaya burung unta konsumsi untuk menghasilkan burung unta potong, telur dan atau lainnya."
105,,"PENGUSAHAAN KOKON/KEPOMPONG ULAT SUTERA",01492,,,,"Kelompok ini mencakup usaha penanaman, pemeliharaan, pemungutan hasil, pengolahan dan pemasaran kokon/kepompong ulat sutera."
106,,"PEMBIBITAN DAN BUDIDAYA LEBAH",01493,,,,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan dan budidaya lebah, termasuk pengusahaan madu."
107,,"PEMBIBITAN DAN BUDIDAYA RUSA",01494,,,,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan dan budidaya ternak rusa/kijang, baik untuk menghasilkan bibit dan daging, kulit dan lainnya."
108,,"PEMBIBITAN DAN BUDIDAYA KELINCI",01495,,,,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan dan budidaya ternak kelinci, baik untuk menghasilkan bibit dan daging, kulit dan lainnya."
109,,"PEMBIBITAN DAN BUDIDAYA CACING",01496,,,,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan dan budidaya ternak cacing, baik untuk menghasilkan bibit dan daging, dan lainnya."
110,,"PEMBIBITAN DAN BUDIDAYA BURUNG WALET",01497,,,,"Kelompok ini mencakup usaha pembibitan dan budidaya burung walet untuk menghasilkan burung dan sarang burung walet, termasuk pengusahaan pembersihan, pencucian, pengolahan dan pengemasan sarang burung walet."
111,,"PEMBIBITAN DAN BUDIDAYA ANEKA TERNAK LAINNYA",01499,,,,"Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan aneka ternak, seperti marmut, anjing, kucing, kera/primata lainnya, ulat, jangkrik dan aneka ternak lainnya, untuk menghasilkan bibit dan peternakan yang menyelenggarakan budidaya aneka ternak untuk menghasilkan daging, kulit dan lainnya."
112,,"JASA PENUNJANG PERTANIAN DAN PASCA PANEN",016,,,,"Golongan ini mencakup kegiatan penunjang dalam memproduksi hasil pertanian dan kegiatan sejenis untuk pertanian yang tidak dilakukan untuk keperluan produksi atas dasar balas jasa (fee) atau kontrak, termasuk jasa pemanenan dan pasca panen, serta menyiapkan hasil pertanian untuk dijual ke pasar."
113,,"JASA PENUNJANG PERTANIAN",0161,,,,"Subgolongan ini mencakup kegiatan jasa penunjang pertanian atas dasar balas jasa atau kontrak.Subgolongan ini mencakup :- Jasa penyiapan lahan pertanian- Jasa penanaman lahan pertanian- Jasa pemeliharaan lahan pertanian- Jasa penyiraman lahan pertanian, termasuk penyiraman lahan melalui udara- Jasa perapihan (trimming) pohon buah dan anggur- Jasa transplantasi padi dan bit- Jasa pemanenan- Jasa pengendalian hama (termasuk kelinci) dalam hubungannya dengan pertanian- Jasa pengoperasian peralatan irigasi pertanian- Jasa penyediaan perlengkapan mesin pertanian dengan operator- Jasa pemeliharaan kondisi lahan agar baik digunakan untuk pertanianSubgolongan ini tidak mencakup :- Kegiatan pasca panen hasil pertanian, lihat 0163- Kegiatan agronomi dan ekonomi pertanian, lihat 7490- Arsitektur pertamanan, lihat 7110- Pertamanan, lihat 8130- Pemeliharaan lahan untuk menjaganya dalam keadaan ekologi yang baik, lihat 8130- Organisasi pameran dan dagang hasil pertanian, lihat 8230"
114,,"JASA PENGOLAHAN LAHAN",01611,,,,"Kelompok ini mencakup usaha pengolahan lahan pertanian tanaman pangan dan perkebunan atas dasar balas jasa (fee) atau kontrak dengan tujuan untuk persiapan penanaman, baik di lahan sawah maupun di lahan kering."
115,,"JASA PEMUPUKAN, PENANAMAN BIBIT/BENIH DAN PENGENDALIAN HAMA DAN GULMA",01612,,,,"Kelompok ini mencakup usaha yang bergerak dalam pemupukan lahan pertanian, penanaman bibit/benih dan pengendalian hama penyakit dan tanaman pengganggu (gulma) tanaman pangan dan perkebunan atas dasar balas jasa (fee) atau kontrak."
116,,"JASA PEMANENAN",01613,,,,"Kelompok ini mencakup usaha pemanenan tanaman atas dasar balas jasa (fee) atau kontrak."
117,,"JASA PENYEMPROTAN DAN PENYERBUKAN MELALUI UDARA",01614,,,,"Kelompok ini mencakup usaha penyemprotan dan penyerbukan melalui udara dengan pesawat udara khusus berdasarkan keadaan tertentu."
118,,"JASA PENUNJANG PERTANIAN LAINNYA",01619,,,,"Kelompok ini mencakup jasa penunjang pertanian lainnya yang belum termasuk dalam kelompok jasa penunjang pertanian di atas, seperti penyelenggaraan pengairan/penyiraman serta penyediaan alat pertanian berikut operatornya, pemeliharaan dan perawatan alat pertanian atas dasar balas jasa (fee) atau kontrak. Penyewaan khusus alat pertanian tanpa operatornya dimasukkan dalam 77305."
119,,"JASA PENUNJANG PETERNAKAN",0162,,,,"Subgolongan ini mencakup jasa penunjang peternakan atas dasar balas jasa atau kontrak.Subgolongan ini mencakup :- Kegiatan peningkatan perkembangbiakan, pertumbuhan dan hasil peternakan- Jasa penggembalaan ternak- Jasa pembersihan kandang- Jasa Pengebirian Unggas- Kegiatan yang berhubungan dengan inseminasi buatan- Jasa pelayanan kuda biak- Jasa pencukuran domba- Jasa penyediaan tempat atau kandang untuk hewan ternak termasuk pemeliharaannya- Kegiatan farrier (tukang tapal kuda)- Kegiatan Transfer embrio, pemeriksaan kebuntinganSubgolongan ini tidak mencakup :- Penyediaan tempat atau kandang untuk hewan ternak tanpa pemeliharaannya, lihat 6811- Kegiatan dokter hewan, lihat 7500- Vaksinasi hewan, lihat 7500- Penyewaan hewan, lihat 7739- Kegiatan untuk mempromosikan perburuan dan pemasangan perangkap untuk umum (komersil), lihat 9499- Tempat penitipan hewan piaraan, lihat 9699"
